title,release_date,vote_count,vote_average
Toy Story,1995-10-30,5415.0,7.7
Jumanji,1995-12-15,2413.0,6.9
Grumpier Old Men,1995-12-22,92.0,6.5
Waiting to Exhale,1995-12-22,34.0,6.1
Father of the Bride Part II,1995-02-10,173.0,5.7
Heat,1995-12-15,1886.0,7.7
Sabrina,1995-12-15,141.0,6.2
Tom and Huck,1995-12-22,45.0,5.4
Sudden Death,1995-12-22,174.0,5.5
GoldenEye,1995-11-16,1194.0,6.6
The American President,1995-11-17,199.0,6.5
Dracula: Dead and Loving It,1995-12-22,210.0,5.7
Balto,1995-12-22,423.0,7.1
Nixon,1995-12-22,72.0,7.1
Cutthroat Island,1995-12-22,137.0,5.7
Casino,1995-11-22,1343.0,7.8
Sense and Sensibility,1995-12-13,364.0,7.2
Four Rooms,1995-12-09,539.0,6.5
Ace Ventura: When Nature Calls,1995-11-10,1128.0,6.1
Money Train,1995-11-21,224.0,5.4
Get Shorty,1995-10-20,305.0,6.4
Copycat,1995-10-27,199.0,6.5
Assassins,1995-10-06,394.0,6.0
Powder,1995-10-27,143.0,6.3
Leaving Las Vegas,1995-10-27,365.0,7.1
Othello,1995-12-15,33.0,7.0
Now and Then,1995-10-20,91.0,6.6
Persuasion,1995-09-27,36.0,7.4
The City of Lost Children,1995-05-16,308.0,7.6
Shanghai Triad,1995-04-30,17.0,6.5
Dangerous Minds,1995-08-11,249.0,6.4
Twelve Monkeys,1995-12-29,2470.0,7.4
Wings of Courage,1996-09-18,4.0,6.8
Babe,1995-07-18,756.0,6.0
Carrington,1995-11-08,16.0,6.4
Dead Man Walking,1995-12-29,350.0,7.3
Across the Sea of Time,1995-10-20,2.0,3.5
It Takes Two,1995-11-17,149.0,6.1
Clueless,1995-07-19,828.0,6.9
"Cry, the Beloved Country",1995-12-15,13.0,6.7
Richard III,1995-12-29,50.0,6.9
Dead Presidents,1995-10-06,80.0,6.6
Restoration,1995-12-29,30.0,6.3
Mortal Kombat,1995-08-18,452.0,5.4
To Die For,1995-05-20,177.0,6.7
How To Make An American Quilt,1995-10-06,38.0,6.5
Se7en,1995-09-22,5915.0,8.1
Pocahontas,1995-06-14,1509.0,6.7
When Night Is Falling,1995-05-05,10.0,5.9
The Usual Suspects,1995-07-19,3334.0,8.1
Guardian Angel,1994-11-22,3.0,6.3
Mighty Aphrodite,1995-09-13,145.0,6.7
Lamerica,1994-01-01,11.0,7.7
The Big Green,1995-09-29,41.0,5.2
Georgia,1995-05-19,15.0,6.1
Kids of the Round Table,1997-07-08,1.0,3.0
Home for the Holidays,1995-11-02,39.0,6.3
The Postman,1994-09-22,181.0,7.6
The Confessional,1995-09-29,2.0,6.5
The Indian in the Cupboard,1995-07-14,136.0,5.9
